ID,Área,Basal,Variância,Indivíduos,Altura,Dossel,Abertura,pH,Idade
 Fe06-1 ,775.96,22.82,1716.64,10.00,7.00,20.09,0.14,6.10,6.00
 Fe06-2 ,1590.95,46.79,4220.66,18.00,6.00,17.85,3.14,6.30,6.00
 Fe25-1 ,5640.68,165.90,44403.40,28.00,12.00,13.19,0.48,6.90,25.00
 Fe25-2 ,5071.26,149.15,20045.11,34.00,12.00,15.78,1.30,6.80,25.00
 Fe40-1 ,6842.65,201.25,105707.72,28.00,20.00,10.30,1.76,5.90,40.00
 Fe40-2 ,5547.13,163.15,97958.57,20.00,20.00,11.56,1.06,6.00,40.00
 Gr6-1 ,1488.51,43.78,4354.20,19.00,6.00,18.82,2.01,5.70,6.00
 Gr6-2 ,604.25,17.77,1523.40,10.00,6.00,17.23,0.58,5.80,6.00
 Gr15-1 ,3439.65,101.17,8468.28,15.00,12.00,11.37,0.84,5.20,15.00
 Gr15-2 ,5097.97,221.65,89475.75,23.00,13.00,13.20,0.46,6.50,15.00
 Gr40-1 ,5078.11,149.36,93630.62,9.00,16.00,11.22,2.88,6.40,40.00
 Gr40-2 ,3475.56,102.22,228283.70,21.00,16.00,10.52,1.39,6.30,40.00
 Ne10-1 ,361.68,10.64,749.67,5.00,6.00,16.33,9.87,6.70,10.00
 Ne10-2 ,1172.83,34.49,5673.86,11.00,6.00,16.87,9.72,6.30,10.00
 Ne12-1 ,2712.55,79.78,2930.76,27.00,15.00,11.58,1.07,6.40,12.00
 Ne12-2 ,4221.59,124.16,7170.14,24.00,15.00,11.79,1.87,6.60,12.00
 Ne80-1 ,5664.87,166.61,371580.78,31.00,20.00,7.30,0.30,6.60,80.00
 Ne80-2 ,6324.33,186.01,116182.71,21.00,20.00,10.33,0.36,6.20,80.00
 Fo10-1 ,616.82,18.14,1979.75,19.00,7.00,25.20,3.63,6.20,10.00
 Fo10-2 ,531.08,15.62,997.35,10.00,7.00,26.37,8.42,6.00,10.00
 Fo20-1 ,1916.94,56.38,39084.38,23.00,10.00,12.00,0.09,6.40,20.00
 Fo20-2 ,1858.87,54.67,31390.26,24.00,12.00,13.93,1.28,6.60,20.00
 Fo60-1 ,6996.69,205.79,132530.29,9.00,30.00,9.94,1.19,6.60,60.00
 Fo60-2 ,4796.72,141.08,47679.56,21.00,30.00,9.89,0.01,6.10,60.00
